Date,Website country,User Country,Device Category,Site visits,Bookings,Booking Tool visits
2022-09-14,IT,IT,mobile,1567,20,1123
2022-09-05,NO,NO,mobile,1561,36,1050
2022-09-13,IT,IT,mobile,1560,26,1156
2022-08-31,NO,NO,mobile,1543,49,1039
2022-09-12,IT,IT,mobile,1541,21,1087
2022-08-23,NL,US,desktop,1511,123,820
2022-09-10,IT,IT,mobile,1499,19,1099
2022-09-18,IT,IT,mobile,1498,14,1032
2022-08-24,NL,US,desktop,1494,103,792
2022-09-04,IT,IT,desktop,1485,90,1114
2022-09-20,IT,IT,mobile,1485,21,1070
2022-09-17,NO,NO,desktop,1482,142,1030
2022-09-15,IT,IT,mobile,1479,16,1064
2022-09-12,NO,NO,mobile,1476,26,974
2022-09-27,IT,IT,mobile,1474,25,1069
2022-09-08,NL,US,desktop,1472,98,902
2022-09-13,NL,US,desktop,1467,96,774
2022-08-30,NO,NO,mobile,1433,44,965
2022-08-25,NO,NO,mobile,1432,32,942
2022-08-26,IT,IT,mobile,1431,24,988
2022-09-25,IT,IT,mobile,1426,24,1062
2022-09-01,NO,NO,mobile,1421,35,930
2022-09-07,NO,NO,mobile,1417,39,960
2022-09-06,NL,US,desktop,1410,111,829
2022-09-29,IT,IT,mobile,1407,19,996
2022-09-09,IT,IT,mobile,1405,18,969
2022-09-17,IT,IT,desktop,1400,92,970
2022-09-21,IT,IT,mobile,1399,16,1008
2022-09-13,NO,NO,mobile,1397,29,939
2022-08-31,NL,US,desktop,1395,98,757
2022-09-19,IT,IT,mobile,1393,18,1007
2022-09-24,NO,NO,desktop,1389,107,937
2022-09-17,NO,NO,mobile,1388,34,860
2022-08-29,NO,NO,mobile,1387,34,946
2022-09-26,NO,NO,mobile,1387,32,880
2022-08-27,NO,NO,desktop,1378,120,1047
2022-08-30,NL,US,desktop,1376,95,772
2022-09-03,NO,NO,desktop,1375,128,1026
2022-09-28,IT,IT,mobile,1375,22,1003
2022-09-03,IT,IT,desktop,1374,91,1008
2022-08-23,NO,NO,mobile,1372,28,927
2022-09-12,NL,US,desktop,1371,97,739
2022-09-17,IT,IT,mobile,1371,11,870
2022-09-16,IT,IT,mobile,1360,17,953
2022-09-14,NL,US,desktop,1359,94,728
2022-09-14,NO,NO,mobile,1357,29,920
2022-09-03,NO,NO,mobile,1355,32,940
2022-09-26,IT,IT,mobile,1348,16,1011
2022-09-10,NO,NO,desktop,1343,137,946
2022-09-22,IT,IT,mobile,1340,15,977
2022-09-19,NO,NO,mobile,1334,32,880
2022-09-20,NO,NO,mobile,1327,34,893
2022-09-08,NO,NO,mobile,1312,34,858
2022-09-20,NL,US,desktop,1312,92,721
2022-08-27,NO,NO,mobile,1311,37,937
2022-09-11,IT,IT,desktop,1310,92,969
2022-09-25,IT,IT,desktop,1309,77,988
2022-09-16,NL,US,desktop,1307,90,674
2022-09-16,NO,NO,mobile,1299,33,816
2022-09-24,IT,IT,mobile,1295,14,921
